Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount,Location,Size,Color,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Previous Purchases,Payment Method,Frequency of Purchases
2134,21,Male,Hat,Accessories,200,Netherlands,XL,Olive,Summer,3.8,No,Standard,No,10,Bank Transfer,Annually
4256,70,Male,Phone,Electronics,241,Germany,S,Green,Autumn,3.9,Yes,Standard,Yes,14,Cash,Weekly
833,58,Male,Jacket,Outerwear,435,Germany,S,Blue,Fall,3.3,Yes,Express,Yes,8,Cash,Bi-Weekly
1106,33,Male,T-shirt,Clothing,423,Belgium,M,Olive,Spring,3.8,No,Next Day Air,Yes,49,Venmo,Every 3 Months
3047,60,Female,Shoes,Footwear,254,Switzerland,M,White,Spring,2.7,No,Store Pickup,No,50,Cash,Every 3 Months
4685,68,Non-Binary,Phone,Clothing,114,Austria,L,Black,Summer,1.4,No,Express,No,36,PayPal,Monthly
1612,41,Male,Pants,Clothing,380,Italy,M,Yellow,Winter,2.4,No,Next Day Air,Yes,44,Debit Card,Monthly
4289,34,Female,Phone,Accessories,186,Austria,M,Red,Autumn,3.5,No,Express,Yes,33,PayPal,Weekly
3552,66,Female,Gloves,Accessories,267,Germany,L,Black,Spring,3.1,No,Store Pickup,No,30,Venmo,Weekly
2918,58,Female,Shirt,Clothing,375,Germany,XL,White,Winter,4.6,No,Store Pickup,No,11,Venmo,Annually
1192,34,Male,T-shirt,Clothing,56,Netherlands,XL,Charcoal,Winter,3.8,No,Free Shipping,Yes,2,Venmo,Quarterly
1907,23,Male,Backpack,Accessories,245,Austria,L,Green,Spring,3,No,2-Day Shipping,No,21,PayPal,Fortnightly
1332,38,Male,Socks,Clothing,449,Italy,M,Lavender,Spring,4.3,No,Standard,Yes,11,PayPal,Bi-Weekly
316,66,Male,Jewelry,Accessories,320,Germany,XL,Orange,Spring,2.7,Yes,Express,Yes,14,Debit Card,Annually
347,49,Male,Jeans,Clothing,495,Belgium,L,Violet,Spring,2.2,Yes,Next Day Air,Yes,8,Cash,Weekly
3115,21,Female,Handbag,Accessories,69,Switzerland,L,Olive,Spring,2.4,No,Store Pickup,No,10,Venmo,Bi-Weekly
5042,46,Non-Binary,Bag,Clothing,471,Switzerland,S,White,Summer,2.6,Yes,Express,No,35,PayPal,Monthly
1498,69,Male,Jacket,Outerwear,441,Austria,S,Magenta,Spring,3.6,No,2-Day Shipping,Yes,22,Debit Card,Every 3 Months
1606,70,Male,Belt,Accessories,323,Germany,M,Lavender,Winter,4.9,No,Next Day Air,Yes,21,Credit Card,Bi-Weekly
4418,67,Female,Watch,Electronics,202,Netherlands,XL,Red,Autumn,4.7,No,Express,No,11,PayPal,Quarterly
4894,24,Non-Binary,Bag,Accessories,352,Italy,L,Red,Spring,2.9,No,Standard,No,50,PayPal,Quarterly
4576,65,Male,Headphones,Accessories,164,France,M,Black,Summer,2.1,No,Standard,Yes,29,Cash,Weekly
2486,43,Male,Blouse,Clothing,365,Germany,XL,Beige,Spring,2.3,No,2-Day Shipping,No,4,Bank Transfer,Annually
187,39,Male,Backpack,Accessories,200,Netherlands,L,Lavender,Summer,1.9,Yes,Standard,Yes,5,Debit Card,Annually
275,59,Male,Jewelry,Accessories,288,Spain,M,Indigo,Spring,3.6,Yes,Express,Yes,29,Cash,Bi-Weekly
1402,23,Male,Sandals,Footwear,408,Austria,XL,Blue,Fall,3.6,No,2-Day Shipping,Yes,6,PayPal,Weekly
1181,23,Male,Skirt,Clothing,197,France,L,Beige,Spring,1.8,No,Standard,Yes,48,Cash,Monthly
2130,40,Male,Skirt,Clothing,342,Switzerland,S,Orange,Fall,1.8,No,Store Pickup,No,7,PayPal,Every 3 Months
995,53,Male,Shoes,Footwear,192,Germany,XL,Violet,Fall,2.7,Yes,Express,Yes,22,Debit Card,Monthly
1230,34,Male,Jewelry,Accessories,331,Italy,XL,Maroon,Winter,3,No,Express,Yes,43,Bank Transfer,Annually
4319,47,Non-Binary,Watch,Electronics,223,Switzerland,XL,Green,Summer,3.6,Yes,Express,Yes,49,PayPal,Monthly
4489,36,Female,Phone,Accessories,225,Switzerland,L,Red,Summer,3.5,No,Express,No,50,PayPal,Monthly
4708,33,Female,Bag,Electronics,331,Switzerland,S,Green,Winter,4.5,Yes,Standard,Yes,47,Debit Card,Quarterly
4827,20,Female,Laptop,Electronics,66,Switzerland,M,Green,Summer,3.8,No,Express,No,32,Debit Card,Monthly
1348,44,Male,Sweater,Clothing,102,Austria,L,Cyan,Summer,3.5,No,2-Day Shipping,Yes,23,Bank Transfer,Monthly
4584,55,Female,Watch,Clothing,452,Switzerland,S,Black,Autumn,4.1,No,Express,Yes,31,Debit Card,Quarterly
3116,26,Female,Scarf,Accessories,163,Italy,L,Charcoal,Fall,3.8,No,Free Shipping,No,3,Bank Transfer,Bi-Weekly
1168,60,Male,Socks,Clothing,11,Spain,L,Beige,Summer,4.9,No,Free Shipping,Yes,13,PayPal,Quarterly
3685,29,Female,Skirt,Clothing,473,Austria,S,Charcoal,Spring,3.7,No,Free Shipping,No,33,Credit Card,Bi-Weekly
4111,49,Male,Phone,Clothing,367,Netherlands,L,Black,Summer,4.6,No,Express,No,1,PayPal,Weekly
2850,56,Female,Coat,Outerwear,206,Austria,M,Gold,Spring,2.2,No,Express,No,43,PayPal,Bi-Weekly
1636,68,Male,Sunglasses,Accessories,357,Spain,L,Violet,Summer,3.4,No,Standard,Yes,48,Cash,Annually
1489,23,Male,Hat,Accessories,319,Germany,L,Pink,Winter,2.7,No,Standard,Yes,24,Credit Card,Weekly
3827,50,Female,Jacket,Outerwear,386,Netherlands,XL,Gray,Summer,4.4,No,Express,No,4,Bank Transfer,Annually
2417,59,Male,Sandals,Footwear,396,Italy,XL,Black,Summer,3.5,No,Next Day Air,No,1,Credit Card,Every 3 Months
2832,34,Female,Hoodie,Clothing,51,Netherlands,XL,Pink,Winter,1.3,No,Express,No,48,Credit Card,Weekly
4607,47,Non-Binary,Shirt,Clothing,166,Netherlands,XL,White,Autumn,2.3,No,Express,Yes,10,PayPal,Weekly
2367,30,Male,Shoes,Footwear,323,Austria,L,Brown,Winter,4.2,No,Express,No,28,Credit Card,Fortnightly
4851,42,Female,Watch,Accessories,355,Italy,S,Blue,Autumn,3.8,No,Standard,Yes,44,Cash,Weekly
508,65,Male,Shorts,Clothing,144,Italy,XL,Magenta,Spring,2.7,Yes,Store Pickup,Yes,45,Debit Card,Fortnightly
4845,19,Female,Shirt,Accessories,112,Switzerland,L,Red,Summer,2.9,No,Express,Yes,48,Debit Card,Weekly
2098,33,Male,Sneakers,Footwear,243,Germany,XL,Cyan,Winter,2.4,No,Next Day Air,No,27,Credit Card,Weekly
1080,18,Male,Coat,Outerwear,270,Germany,M,Blue,Summer,4.1,No,Free Shipping,Yes,6,Bank Transfer,Monthly
4558,41,Non-Binary,Bag,Accessories,254,Belgium,M,White,Autumn,2.9,No,Standard,Yes,6,PayPal,Monthly
4492,59,Female,Laptop,Clothing,305,Portugal,L,Green,Spring,2.1,Yes,Standard,Yes,3,Debit Card,Weekly
4292,27,Non-Binary,Laptop,Electronics,142,Spain,XL,Blue,Summer,3.8,Yes,Express,Yes,26,Credit Card,Weekly
3036,69,Female,Handbag,Accessories,93,France,S,Gold,Spring,4.5,No,Free Shipping,No,26,Cash,Bi-Weekly
3554,62,Female,Shoes,Footwear,335,Italy,S,Charcoal,Spring,3.5,No,Free Shipping,No,47,Bank Transfer,Weekly
2077,59,Male,Gloves,Accessories,385,France,M,Indigo,Fall,3.2,No,Free Shipping,No,33,Debit Card,Bi-Weekly
3088,62,Female,Shirt,Clothing,54,Portugal,S,Charcoal,Spring,3.3,No,Free Shipping,No,17,Bank Transfer,Monthly
3739,34,Female,Shorts,Clothing,118,Spain,M,Brown,Spring,3,No,Free Shipping,No,1,Cash,Fortnightly
3309,55,Female,Jeans,Clothing,314,Spain,L,Pink,Fall,3.9,No,Express,No,11,Cash,Monthly
2922,20,Female,Handbag,Accessories,61,Austria,L,Cyan,Fall,3.4,No,Standard,No,27,Cash,Fortnightly
4156,51,Non-Binary,Shirt,Clothing,388,Portugal,M,Red,Summer,4.7,Yes,Express,No,27,PayPal,Monthly
4869,26,Female,Headphones,Accessories,339,Italy,L,Red,Winter,2.2,No,Express,No,44,PayPal,Monthly
660,62,Male,Shorts,Clothing,372,Belgium,M,Gold,Spring,3.7,Yes,2-Day Shipping,Yes,38,Cash,Weekly
3632,48,Female,Hat,Accessories,474,France,L,Peach,Fall,4.2,No,Store Pickup,No,16,Credit Card,Monthly
3217,39,Female,Hoodie,Clothing,238,Italy,XL,Olive,Winter,4.3,No,Next Day Air,No,13,Cash,Weekly
3696,38,Female,Skirt,Clothing,158,France,S,White,Fall,1.3,No,Standard,No,18,Bank Transfer,Fortnightly
146,24,Male,Jewelry,Accessories,304,Portugal,XL,Teal,Fall,4.8,Yes,Standard,Yes,23,Debit Card,Quarterly
693,35,Male,Sunglasses,Accessories,186,Austria,S,Cyan,Spring,1.2,Yes,2-Day Shipping,Yes,25,Debit Card,Every 3 Months
1837,66,Male,Pants,Clothing,420,Italy,L,Teal,Fall,2.8,No,2-Day Shipping,No,43,Credit Card,Monthly
598,70,Male,Jewelry,Accessories,56,Switzerland,S,Gold,Summer,2.1,Yes,Standard,Yes,47,Bank Transfer,Fortnightly
165,59,Male,Handbag,Accessories,236,Spain,M,Purple,Spring,2.4,Yes,Free Shipping,Yes,42,Credit Card,Fortnightly
1186,47,Male,Jeans,Clothing,465,Netherlands,L,Magenta,Spring,2.8,No,Standard,Yes,42,Credit Card,Monthly
3328,47,Female,Shorts,Clothing,292,Belgium,L,Black,Spring,3.5,No,Express,No,16,Debit Card,Quarterly
4404,67,Male,Watch,Clothing,434,Italy,S,Blue,Winter,3,Yes,Standard,Yes,22,Debit Card,Monthly
4153,67,Non-Binary,Shoes,Accessories,150,France,M,Red,Spring,2.2,No,Express,No,18,Credit Card,Monthly
4587,52,Male,Laptop,Electronics,483,Switzerland,L,White,Winter,4.4,Yes,Standard,Yes,48,Cash,Quarterly
4057,41,Female,Shoes,Electronics,185,Switzerland,XL,Black,Winter,4.6,No,Standard,Yes,14,Credit Card,Quarterly
3889,45,Female,Sneakers,Footwear,68,Portugal,L,Violet,Spring,3.3,No,Standard,No,30,Venmo,Bi-Weekly
106,69,Male,Backpack,Accessories,105,Italy,L,Charcoal,Fall,1.6,Yes,Next Day Air,Yes,41,Bank Transfer,Annually
4176,23,Male,Shoes,Clothing,400,Belgium,L,Black,Autumn,2.8,No,Standard,No,11,Credit Card,Weekly
63,30,Male,Sneakers,Footwear,149,Germany,L,Magenta,Spring,2.1,Yes,Free Shipping,Yes,13,Credit Card,Fortnightly
3455,55,Female,Handbag,Accessories,294,Netherlands,S,Lavender,Fall,4.4,No,Store Pickup,No,45,PayPal,Bi-Weekly
2500,52,Male,Hoodie,Clothing,116,Netherlands,S,Pink,Summer,1.2,No,Next Day Air,No,37,Cash,Quarterly
2136,34,Male,Sunglasses,Accessories,445,Austria,M,Yellow,Winter,2.7,No,Next Day Air,No,10,Debit Card,Every 3 Months
3584,52,Female,Blouse,Clothing,210,France,S,Brown,Summer,4,No,Store Pickup,No,5,Credit Card,Every 3 Months
4118,18,Non-Binary,Shirt,Accessories,64,Portugal,XL,Black,Summer,1.3,Yes,Standard,No,24,Debit Card,Quarterly
2547,63,Male,Boots,Footwear,251,Germany,S,Gray,Summer,4.6,No,Express,No,21,Credit Card,Quarterly
4972,46,Non-Binary,Bag,Accessories,112,Italy,M,White,Autumn,4,No,Express,Yes,35,Debit Card,Monthly
3365,50,Female,Scarf,Accessories,448,Austria,L,Peach,Fall,1.4,No,Standard,No,12,Credit Card,Monthly
1637,58,Male,Boots,Footwear,451,Italy,XL,Green,Fall,3,No,Free Shipping,Yes,14,Cash,Fortnightly
2000,39,Male,Socks,Clothing,48,Germany,XL,Indigo,Winter,3.2,No,2-Day Shipping,No,30,Debit Card,Monthly
2603,65,Male,Coat,Outerwear,12,France,XL,Black,Fall,4.3,No,Free Shipping,No,5,Venmo,Quarterly
2700,25,Female,Boots,Footwear,496,Belgium,L,Violet,Fall,4.3,No,2-Day Shipping,No,47,Debit Card,Annually
4189,38,Male,Shoes,Accessories,246,Portugal,M,Black,Autumn,4.5,Yes,Standard,Yes,19,Cash,Weekly
3371,30,Female,Belt,Accessories,435,Switzerland,M,Charcoal,Summer,4.4,No,Store Pickup,No,11,Cash,Fortnightly
3599,23,Female,Hoodie,Clothing,163,Austria,XL,Purple,Spring,4.7,No,Store Pickup,No,27,Bank Transfer,Bi-Weekly
4072,63,Male,Shoes,Clothing,21,Netherlands,L,Red,Autumn,2.5,No,Standard,Yes,19,Credit Card,Quarterly
1432,39,Male,Pants,Clothing,490,Netherlands,XL,Cyan,Fall,2.9,No,Express,Yes,22,Venmo,Quarterly
2381,41,Male,Scarf,Accessories,120,Italy,XL,Black,Fall,2.8,No,Next Day Air,No,27,PayPal,Fortnightly
2120,58,Male,Jewelry,Accessories,453,Belgium,L,Indigo,Spring,4.7,No,Store Pickup,No,9,Venmo,Bi-Weekly
3502,53,Female,Shoes,Footwear,136,Belgium,M,Silver,Fall,4.5,No,Standard,No,50,Bank Transfer,Weekly
3551,63,Female,Shoes,Footwear,71,Belgium,L,Orange,Winter,3.7,No,Standard,No,32,Cash,Weekly
712,64,Male,Boots,Footwear,156,Portugal,XL,Maroon,Spring,4.8,Yes,2-Day Shipping,Yes,21,Bank Transfer,Bi-Weekly
1337,23,Male,Sneakers,Footwear,18,Portugal,XL,Charcoal,Spring,3,No,Store Pickup,Yes,13,Debit Card,Fortnightly
1047,40,Male,Sneakers,Footwear,327,Belgium,L,Magenta,Winter,4.5,Yes,Standard,Yes,5,Venmo,Annually
2225,18,Male,Gloves,Accessories,48,Netherlands,L,Charcoal,Winter,1.4,No,Standard,No,26,Cash,Quarterly
3525,69,Female,Pants,Clothing,97,Germany,XL,Silver,Summer,3.9,No,Free Shipping,No,2,Credit Card,Monthly
4530,20,Male,Watch,Electronics,130,Spain,M,Black,Autumn,4,Yes,Standard,Yes,25,Debit Card,Monthly
3199,61,Female,Gloves,Accessories,71,Netherlands,L,Peach,Winter,3,No,Free Shipping,No,50,Debit Card,Weekly
70,48,Male,Belt,Accessories,382,Switzerland,XL,Cyan,Summer,1.7,Yes,Express,Yes,30,Cash,Weekly
2721,55,Female,Scarf,Accessories,245,France,S,Peach,Spring,3.9,No,Store Pickup,No,19,Bank Transfer,Quarterly
436,51,Male,Coat,Outerwear,45,Italy,XL,Olive,Winter,2.7,Yes,Next Day Air,Yes,20,Bank Transfer,Monthly
387,64,Male,Jewelry,Accessories,179,Netherlands,M,Brown,Spring,3.4,Yes,Express,Yes,25,PayPal,Quarterly
3867,58,Female,Hat,Accessories,199,France,M,Beige,Winter,3.3,No,2-Day Shipping,No,28,Credit Card,Fortnightly
3358,41,Female,Hoodie,Clothing,102,Germany,L,Pink,Winter,3.9,No,Free Shipping,No,19,Credit Card,Monthly
608,47,Male,Hoodie,Clothing,116,Switzerland,L,Purple,Fall,3.3,Yes,Next Day Air,Yes,10,Cash,Monthly
115,70,Male,Coat,Outerwear,253,Germany,L,Blue,Summer,1.1,Yes,Store Pickup,Yes,8,Cash,Weekly
4712,60,Male,Laptop,Clothing,153,Germany,M,Red,Summer,3.6,No,Standard,No,29,Cash,Monthly
5058,63,Non-Binary,Shirt,Electronics,43,Germany,M,Blue,Spring,1.9,Yes,Standard,Yes,41,PayPal,Quarterly
2568,19,Male,Sunglasses,Accessories,298,Germany,S,Gold,Spring,2.6,No,Store Pickup,No,3,Cash,Fortnightly
4381,53,Female,Watch,Clothing,57,Switzerland,S,Blue,Summer,4.9,No,Express,Yes,8,PayPal,Monthly
4192,46,Non-Binary,Watch,Electronics,253,Switzerland,S,Green,Winter,1.1,Yes,Standard,Yes,11,PayPal,Monthly
235,20,Male,Gloves,Accessories,152,Austria,XL,Silver,Summer,4.7,Yes,Next Day Air,Yes,8,Credit Card,Weekly
3699,25,Female,Skirt,Clothing,429,Switzerland,S,Maroon,Spring,2.2,No,2-Day Shipping,No,25,Venmo,Annually
3215,53,Female,Skirt,Clothing,259,Italy,L,Yellow,Spring,3.9,No,Free Shipping,No,24,Debit Card,Annually
1876,63,Male,Boots,Footwear,274,France,S,Brown,Winter,4.9,No,Next Day Air,No,17,Credit Card,Quarterly
1625,38,Male,Sweater,Clothing,220,France,L,White,Winter,1.1,No,Free Shipping,Yes,39,PayPal,Every 3 Months
1396,47,Male,Scarf,Accessories,462,Portugal,L,Turquoise,Spring,4.3,No,Next Day Air,Yes,35,PayPal,Bi-Weekly
9,26,Male,Coat,Outerwear,92,Germany,M,Silver,Summer,4.7,Yes,Express,Yes,4,Venmo,Annually
2168,30,Male,Skirt,Clothing,20,Italy,M,Green,Winter,1.6,No,Standard,No,46,Venmo,Fortnightly
749,35,Male,Hat,Accessories,219,Portugal,L,Brown,Fall,2.1,Yes,Free Shipping,Yes,48,Bank Transfer,Quarterly
2507,57,Male,Dress,Clothing,147,Belgium,M,Orange,Spring,3.5,No,Free Shipping,No,21,Venmo,Annually
1285,65,Male,Dress,Clothing,266,Italy,S,Black,Spring,4,No,Express,Yes,26,PayPal,Fortnightly
4047,49,Male,Watch,Electronics,450,Netherlands,M,White,Summer,1.1,Yes,Standard,No,17,Cash,Weekly
5014,60,Female,Shirt,Accessories,318,Germany,M,Green,Winter,4.6,Yes,Standard,Yes,27,Debit Card,Monthly
1195,50,Male,Hoodie,Clothing,55,Portugal,S,Teal,Winter,4.3,No,2-Day Shipping,Yes,5,Credit Card,Fortnightly
2013,48,Male,Jeans,Clothing,464,France,M,Green,Fall,1.1,No,Store Pickup,No,34,Cash,Fortnightly
4076,57,Non-Binary,Watch,Clothing,32,Portugal,L,White,Summer,4.1,No,Express,No,35,Credit Card,Weekly
2050,68,Male,Boots,Footwear,288,Austria,XL,Blue,Fall,2.9,No,Standard,No,2,Venmo,Annually
1306,31,Male,Pants,Clothing,75,Germany,S,Peach,Spring,1,No,Express,Yes,31,PayPal,Every 3 Months
5024,38,Non-Binary,Bag,Electronics,392,Switzerland,L,Green,Summer,3.8,Yes,Express,Yes,25,Debit Card,Quarterly
3170,35,Female,T-shirt,Clothing,419,France,M,White,Fall,1.1,No,Free Shipping,No,9,Venmo,Weekly
1116,30,Male,Hat,Accessories,350,Spain,L,Peach,Fall,5,No,2-Day Shipping,Yes,34,Cash,Weekly
2317,28,Male,Sneakers,Footwear,64,Switzerland,S,Yellow,Winter,3,No,Standard,No,25,Debit Card,Annually
728,62,Male,Sweater,Clothing,318,France,S,Gray,Winter,1.7,Yes,Next Day Air,Yes,4,Venmo,Every 3 Months
467,38,Male,Jeans,Clothing,214,Netherlands,L,Turquoise,Winter,3.7,Yes,Free Shipping,Yes,18,PayPal,Weekly
4235,56,Non-Binary,Headphones,Clothing,461,Switzerland,L,Red,Spring,2.3,Yes,Express,Yes,28,Debit Card,Quarterly
656,20,Male,Handbag,Accessories,371,France,S,Purple,Fall,4.9,Yes,Free Shipping,Yes,48,Venmo,Monthly
4542,28,Non-Binary,Shoes,Electronics,452,France,XL,Red,Summer,3.1,Yes,Express,No,6,PayPal,Weekly
99,20,Male,Jeans,Clothing,143,France,XL,Teal,Spring,4.8,Yes,Next Day Air,Yes,4,Bank Transfer,Annually
3681,22,Female,Sunglasses,Accessories,197,Belgium,M,Blue,Winter,3.2,No,Standard,No,14,Debit Card,Quarterly
3715,18,Female,Hat,Accessories,458,Spain,L,Peach,Winter,2.7,No,Express,No,1,Credit Card,Weekly
2726,64,Female,Backpack,Accessories,269,Austria,L,Violet,Summer,2.2,No,Free Shipping,No,6,Debit Card,Annually
2544,27,Male,Scarf,Accessories,41,Italy,L,Peach,Spring,3.4,No,Next Day Air,No,39,PayPal,Bi-Weekly
2834,43,Female,Jeans,Clothing,317,Spain,XL,Teal,Fall,1.1,No,Free Shipping,No,38,Cash,Monthly
1084,35,Male,Backpack,Accessories,383,Netherlands,M,Teal,Summer,4.6,No,Store Pickup,Yes,33,Cash,Weekly
2904,38,Female,Scarf,Accessories,367,Germany,XL,Teal,Spring,1.9,No,2-Day Shipping,No,32,Credit Card,Every 3 Months
964,21,Male,Boots,Footwear,122,Germany,S,Green,Spring,4.5,Yes,2-Day Shipping,Yes,11,Credit Card,Weekly
299,69,Male,T-shirt,Clothing,480,Italy,XL,Lavender,Winter,2.2,Yes,Standard,Yes,16,Venmo,Every 3 Months
1327,40,Male,Shoes,Footwear,400,Netherlands,XL,Indigo,Spring,1.4,No,Free Shipping,Yes,7,Cash,Monthly
2789,56,Female,Boots,Footwear,417,Netherlands,L,Olive,Summer,4.6,No,Free Shipping,No,38,Credit Card,Annually
2321,28,Male,Shoes,Footwear,431,Netherlands,L,Olive,Spring,1.8,No,Free Shipping,No,27,Debit Card,Every 3 Months
79,50,Male,Skirt,Clothing,291,Belgium,L,Maroon,Spring,1.4,Yes,Free Shipping,Yes,35,Venmo,Fortnightly
771,19,Male,Sneakers,Footwear,241,Belgium,S,Gray,Spring,4.8,Yes,Express,Yes,20,Credit Card,Annually
1543,59,Male,Blouse,Clothing,69,Switzerland,L,Maroon,Winter,3.3,No,Next Day Air,Yes,3,PayPal,Weekly
2223,32,Male,Pants,Clothing,159,Germany,L,Teal,Summer,1.2,No,Store Pickup,No,10,Credit Card,Weekly
3461,41,Female,Scarf,Accessories,375,Portugal,XL,Gold,Spring,2,No,Express,No,48,Bank Transfer,Bi-Weekly
1952,33,Male,Gloves,Accessories,259,Netherlands,S,Gold,Summer,2.9,No,Next Day Air,No,1,Bank Transfer,Bi-Weekly
4552,57,Male,Shoes,Clothing,180,Netherlands,M,Red,Winter,4.1,No,Express,No,39,PayPal,Quarterly
1645,68,Male,Coat,Outerwear,346,Portugal,XL,Beige,Summer,3.1,No,Next Day Air,Yes,1,Debit Card,Monthly
510,41,Male,T-shirt,Clothing,98,Italy,M,Cyan,Summer,3.4,Yes,Free Shipping,Yes,35,Debit Card,Weekly
2854,37,Female,Hat,Accessories,393,Germany,L,Magenta,Winter,3.7,No,Next Day Air,No,24,PayPal,Weekly
378,63,Male,Scarf,Accessories,360,Spain,S,Silver,Spring,4.8,Yes,Standard,Yes,25,Credit Card,Every 3 Months
827,54,Male,Dress,Clothing,431,Netherlands,XL,Purple,Winter,2.8,Yes,Standard,Yes,14,PayPal,Weekly
4571,40,Non-Binary,Shirt,Electronics,233,Italy,S,Black,Autumn,3.5,Yes,Standard,Yes,38,Cash,Quarterly
546,33,Male,Coat,Outerwear,219,France,XL,Magenta,Summer,2.1,Yes,2-Day Shipping,Yes,13,Debit Card,Annually
2085,32,Male,Blouse,Clothing,446,Portugal,M,Brown,Summer,4.3,No,Standard,No,3,Bank Transfer,Quarterly
641,53,Male,Skirt,Clothing,383,Belgium,L,Gray,Summer,2.4,Yes,Store Pickup,Yes,41,Debit Card,Fortnightly
5037,41,Female,Watch,Accessories,168,Germany,XL,Green,Summer,1.8,Yes,Standard,Yes,44,Credit Card,Monthly
4843,22,Female,Phone,Electronics,347,Belgium,XL,Red,Winter,4.5,No,Standard,Yes,6,PayPal,Quarterly
1771,53,Male,Backpack,Accessories,399,Germany,XL,Pink,Fall,4.2,No,Express,No,48,Bank Transfer,Weekly
1861,18,Male,T-shirt,Clothing,497,Netherlands,L,Silver,Summer,2.1,No,Next Day Air,No,31,Credit Card,Monthly
4011,50,Female,Headphones,Clothing,271,Italy,M,Blue,Winter,4.6,No,Standard,Yes,18,Debit Card,Quarterly
2915,45,Female,Sweater,Clothing,227,Spain,XL,Yellow,Fall,3.9,No,Express,No,8,Debit Card,Bi-Weekly
5009,35,Male,Watch,Clothing,372,Belgium,S,Green,Autumn,4.8,Yes,Express,Yes,44,Credit Card,Quarterly
5083,42,Non-Binary,Shoes,Electronics,187,Germany,S,White,Autumn,4.5,No,Standard,No,8,PayPal,Quarterly
2990,46,Female,Belt,Accessories,374,Italy,S,Teal,Summer,3.5,No,2-Day Shipping,No,41,Credit Card,Weekly
4079,28,Male,Shoes,Electronics,433,Austria,L,White,Spring,3.4,Yes,Standard,Yes,12,Cash,Monthly
2056,28,Male,Handbag,Accessories,374,Switzerland,XL,Silver,Fall,2.5,No,2-Day Shipping,No,8,Bank Transfer,Weekly
1994,32,Male,Blouse,Clothing,340,Spain,M,Purple,Spring,1.7,No,Express,No,16,Cash,Weekly
4257,60,Non-Binary,Bag,Clothing,31,Belgium,S,Green,Winter,1.7,Yes,Express,No,9,Cash,Quarterly
2347,22,Male,Jacket,Outerwear,264,Austria,M,Brown,Winter,2,No,Standard,No,11,Debit Card,Fortnightly
3063,51,Female,Backpack,Accessories,374,Netherlands,S,Green,Fall,4.4,No,Standard,No,35,PayPal,Monthly
1967,67,Male,Jacket,Outerwear,245,Portugal,S,Purple,Winter,2.5,No,Express,No,24,Credit Card,Fortnightly
2131,25,Male,Backpack,Accessories,299,France,L,Violet,Summer,4.5,No,Free Shipping,No,40,Credit Card,Annually
4171,23,Male,Phone,Clothing,228,Italy,S,Green,Autumn,4.7,Yes,Standard,No,24,Debit Card,Weekly
